rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,year
34,2013-07-02,The Lone Ranger,225000000,89302115,260002115,29210849,PG-13,Western,3904,2013
35,2012-06-27,The Amazing Spider-Man,220000000,262030663,757890267,62004688,PG-13,Adventure,4318,2012
36,2012-04-11,Battleship,220000000,65233400,313477717,25534825,PG-13,Action,3702,2012
37,2017-06-20,Transformers: The Last Knight,217000000,130168683,602893340,44680073,PG-13,Action,4132,2017
38,2015-06-09,Jurassic World,215000000,652306625,1669979967,208806270,PG-13,Action,4291,2015
39,2012-05-23,Men in Black 3,215000000,179020854,654213485,54592779,PG-13,Adventure,4248,2012
40,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,836519699,108966307,PG-13,Action,4293,2009
41,2014-06-25,Transformers: Age of Extinction,210000000,245439076,1104054072,100038390,PG-13,Action,4233,2014
42,2006-05-26,X-Men: The Last Stand,210000000,234362462,459260946,102750665,PG-13,Action,3714,2006
43,2010-05-14,Robin Hood,210000000,105487148,322459006,36063385,PG-13,Action,3505,2010
44,2005-12-14,King Kong,207000000,218080025,550517357,50130145,PG-13,Adventure,3627,2005
45,2007-12-07,The Golden Compass,205000000,70107728,367262558,25783232,PG-13,Adventure,3528,2007
46,2020-08-26,Tenet,205000000,58504105,362450957,20001852,PG-13,Action,2930,2020
47,2021-12-14,Spider-Man: No Way Home,200000000,814108407,1912775610,260138569,PG-13,Action,4336,2021
48,2018-02-13,Black Panther,200000000,700059566,1336494321,202003951,PG-13,Action,4084,2018
49,1997-12-18,Titanic,200000000,659363944,2207986545,28638131,PG-13,Drama,3265,1997
50,2018-06-15,Incredibles 2,200000000,608581744,1242805359,182687905,PG,Adventure,4413,2018
51,2016-12-14,Rogue One: A Star Wars Story,200000000,533539991,1055083596,155081681,PG-13,Adventure,4157,2016
52,2016-06-16,Finding Dory,200000000,486295561,1025006125,135060273,PG,Adventure,4305,2016
53,2019-06-20,Toy Story 4,200000000,434038008,1073080329,120908065,G,Adventure,4575,2019
54,2010-06-18,Toy Story 3,200000000,415004880,1068879522,110307189,G,Adventure,4028,2010
55,2022-05-04,Doctor Strange in the Multiverse of Madness,200000000,411331607,952224986,187420998,PG-13,Action,4534,2022
56,2013-04-24,Iron Man 3,200000000,408992272,1215392272,174144585,PG-13,Action,4253,2013
